,Movie_title,First_Criterion,Second_Criterion,Third_Criterion,release_date,budget,voting,original_language
0,Hellraiser,1.0,1.0,1.0,1987-09-11,1000000.0,6.9,en
0,Broadcast News,1.0,1.0,1.0,1987-12-16,20000000.0,6.8,en
0,The Queen,1.0,1.0,1.0,2006-09-15,15000000.0,6.8,en
0,Hesher,1.0,1.0,1.0,2010-01-22,7000000.0,6.7,en
0,Martha Marcy May Marlene,1.0,1.0,1.0,2011-10-21,0.0,6.7,en
0,Taxi Driver,1.0,0.0,0.0,1976-02-07,1300000.0,8.1,en
0,Charade,0.0,0.0,0.0,1963-12-05,4000000.0,7.7,en
0,Willow,1.0,1.0,1.0,1988-05-01,35000000.0,6.9,en
0,You Can Count on Me,1.0,1.0,0.0,2000-11-17,0.0,6.8,en
0,Shivers,1.0,1.0,1.0,1975-10-10,179000.0,6.3,en
0,Citizen Kane,1.0,1.0,1.0,1941-04-30,839727.0,8.0,en
0,Lake Placid,1.0,1.0,1.0,1999-07-15,27000000.0,5.5,en
0,Raising Arizona,1.0,1.0,1.0,1987-03-01,6000000.0,7.2,en
0,Lincoln,1.0,0.0,0.0,2012-11-09,65000000.0,6.7,en
0,The Sweet Hereafter,1.0,1.0,0.0,1997-05-14,5000000.0,6.8,en
0,Jason X,1.0,1.0,1.0,2001-07-24,11000000.0,4.5,en
0,Total Recall,1.0,0.0,0.0,1990-06-01,65000000.0,7.1,en
0,Memento,1.0,0.0,0.0,2000-10-11,9000000.0,8.1,en
0,Scream,1.0,1.0,1.0,1996-12-20,14000000.0,7.0,en
0,Evil Dead,1.0,0.0,0.0,2013-04-05,17000000.0,6.4,en
0,Sweet Smell of Success,1.0,0.0,0.0,1957-06-27,0.0,7.5,en
0,Cobb,0.0,0.0,0.0,1994-12-02,0.0,6.1,en
0,Shampoo,1.0,1.0,1.0,1975-03-13,0.0,6.3,en
0,Bad Country,1.0,0.0,0.0,2014-09-26,0.0,5.7,en
