,character,actress/actor,gender,title_of_movie,genre1,genre2,genre3,release_date,budget,voting,original_language
0,Woody (voice),Tom Hanks,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
1,Buzz Lightyear (voice),Tim Allen,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
2,Mr. Potato Head (voice),Don Rickles,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
3,Slinky Dog (voice),Jim Varney,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
4,Rex (voice),Wallace Shawn,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
5,Hamm (voice),John Ratzenberger,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
6,Bo Peep (voice),Annie Potts,1.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
7,Andy (voice),John Morris,0.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
8,Sid (voice),Erik von Detten,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
9,Mrs. Davis (voice),Laurie Metcalf,1.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
10,Sergeant (voice),R. Lee Ermey,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
11,Hannah (voice),Sarah Freeman,1.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
12,TV Announcer (voice),Penn Jillette,2.0,Toy Story,Animation,Comedy,Family,1995-10-30,30000000.0,7.7,en
13,Lt. Vincent Hanna,Al Pacino,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
14,Neil McCauley,Robert De Niro,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
15,Chris Shiherlis,Val Kilmer,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
16,Nate,Jon Voight,2.0,Heat,Action,Crime,Drama,1995-12-15,60000000.0,7.7,en
